   BENCHMARK INFORMATION
benchmark definition:    wit4java.xml
name:                    wit4java
run sets:                SV-COMP22_assert_java.ReachSafety-Java
date:                    Tue, 2022-06-14 20:06:05 BST
tool:                    wit4java 2.0
tool executable:         ./wit4java.py
options:
resource limits:
- memory:                8000.0 MB
- time:                  90 s
- cpu cores:             4
hardware requirements:
- cpu model:             Intel Xeon E3-1230 v5 @ 3.40 GHz
- cpu cores:             4
- memory:                8000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    joss-Blade-Stealth
os:                      Linux-5.4.0-117-generic-x86_64-with-glibc2.29
cpu:                     Intel Core i7-7500U CPU @ 2.70GHz
- cores:                 4
- max frequency:         3500.0 MHz
- turbo boost enabled:   True
ram:                     16676.265983999998 MB
------------------------------------------------------------



SV-COMP22_assert_java.ReachSafety-Java
Run set 1 of 1 with options '--witness ~/sv-benchmarks/java/${rundefinition_name}/${taskdef_name}/witness.graphml' and propertyfile 'None'

inputfile                                                                               status                       cpu time   wall time        host
java-ranger-regression/nanoxml_eqchk/nanoxml_prop3.yml                                  unknown                          6.85        3.42        None
java-ranger-regression/printtokens_eqchk/printtokens_prop2.yml                          false                            5.91        2.95        None
MinePump/spec1-5_product1.yml                                                           unknown                          0.13        0.14        None
MinePump/spec1-5_product10.yml                                                          false                            5.86        3.01        None
MinePump/spec1-5_product11.yml                                                          false                            6.21        3.14        None
MinePump/spec1-5_product12.yml                                                          false                            6.00        3.14        None
MinePump/spec1-5_product13.yml                                                          false                            6.16        3.07        None
MinePump/spec1-5_product14.yml                                                          false                            6.56        3.43        None
MinePump/spec1-5_product15.yml                                                          false                            6.48        3.31        None
MinePump/spec1-5_product16.yml                                                          false                            6.41        3.42        None
MinePump/spec1-5_product17.yml                                                          false                            6.21        3.09        None
MinePump/spec1-5_product18.yml                                                          false                            5.65        2.98        None
MinePump/spec1-5_product19.yml                                                          false                            6.10        3.13        None
MinePump/spec1-5_product2.yml                                                           false                            6.53        3.28        None
MinePump/spec1-5_product20.yml                                                          false                            6.18        3.12        None
MinePump/spec1-5_product21.yml                                                          false                            5.96        2.99        None
MinePump/spec1-5_product22.yml                                                          false                            5.94        3.07        None
MinePump/spec1-5_product23.yml                                                          false                            6.05        3.20        None
MinePump/spec1-5_product24.yml                                                          false                            6.29        3.49        None
MinePump/spec1-5_product25.yml                                                          false                            6.16        3.05        None
MinePump/spec1-5_product26.yml                                                          false                            6.26        3.24        None
MinePump/spec1-5_product27.yml                                                          false                            6.17        3.07        None
MinePump/spec1-5_product28.yml                                                          false                            6.26        3.04        None
MinePump/spec1-5_product29.yml                                                          false                            6.61        3.31        None
MinePump/spec1-5_product3.yml                                                           false                            6.17        3.08        None
MinePump/spec1-5_product30.yml                                                          false                            6.14        3.05        None
MinePump/spec1-5_product31.yml                                                          false                            6.10        3.10        None
MinePump/spec1-5_product32.yml                                                          false                            6.54        3.51        None
MinePump/spec1-5_product33.yml                                                          false                            6.32        3.15        None
MinePump/spec1-5_product34.yml                                                          false                            6.21        3.03        None
MinePump/spec1-5_product35.yml                                                          false                            6.22        3.12        None
MinePump/spec1-5_product36.yml                                                          false                            6.16        3.08        None
MinePump/spec1-5_product37.yml                                                          false                            6.14        3.07        None
MinePump/spec1-5_product38.yml                                                          false                            6.17        3.09        None
MinePump/spec1-5_product39.yml                                                          false                            6.14        3.12        None
MinePump/spec1-5_product4.yml                                                           false                            6.63        3.54        None
MinePump/spec1-5_product40.yml                                                          false                            6.11        3.03        None
MinePump/spec1-5_product41.yml                                                          false                            6.07        3.06        None
MinePump/spec1-5_product42.yml                                                          false                            6.58        3.49        None
