   BENCHMARK INFORMATION
benchmark definition:    wit4java3-gdart.xml
name:                    wit4java3-gdart
run sets:                SV-COMP22_assert_java.ReachSafety-Java
date:                    Tue, 2022-06-14 20:46:01 BST
tool:                    wit4java 2.0
Exception: 0
tool executable:         ./wit4java.py
options:
resource limits:
- memory:                8000.0 MB
- time:                  90 s
- cpu cores:             4
hardware requirements:
- cpu model:             Intel Xeon E3-1230 v5 @ 3.40 GHz
- cpu cores:             4
- memory:                8000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    joss-Blade-Stealth
os:                      Linux-5.4.0-117-generic-x86_64-with-glibc2.29
cpu:                     Intel Core i7-7500U CPU @ 2.70GHz
- cores:                 4
- max frequency:         3500.0 MHz
- turbo boost enabled:   True
ram:                     16676.265983999998 MB
------------------------------------------------------------



SV-COMP22_assert_java.ReachSafety-Java
Run set 1 of 1 with options '--witness ~/gdart/${rundefinition_name}/${taskdef_name}/witness.graphml' and propertyfile 'None'

inputfile                                                                               status                       cpu time   wall time        host
algorithms/MergeSortIterative-MemUnsat01.yml                                            false                            3.13        1.73        None
algorithms/RedBlackTree-FunUnsat01.yml                                                  unknown                          3.51        1.71        None
algorithms/RedBlackTree-MemUnsat01.yml                                                  unknown                          3.48        1.69        None
algorithms/SortedListInsert-FunUnsat01.yml                                              false                            3.04        1.74        None
algorithms/SortedListInsert-MemUnsat01.yml                                              unknown                          0.30        0.31        None
algorithms/Trie-FunUnsat01.yml                                                          false                            3.14        1.64        None
algorithms/Trie-MemUnsat01.yml                                                          false                            2.99        1.56        None
algorithms/Tsp-FunSat01.yml                                                             false                            2.97        1.66        None
algorithms/Tsp-FunUnsat01.yml                                                           false                            3.04        1.71        None
algorithms/Tsp-MemUnsat01.yml                                                           false                            3.38        2.15        None
juliet-java/CWE369_Divide_by_Zero__float_connect_tcp_divide_01_bad.yml                  unknown                          0.28        0.32        None
juliet-java/CWE369_Divide_by_Zero__float_connect_tcp_divide_01_bad_version2.yml         unknown                          0.27        0.30        None
juliet-java/CWE369_Divide_by_Zero__float_connect_tcp_divide_81a_bad.yml                 unknown                          0.25        0.26        None
juliet-java/CWE369_Divide_by_Zero__float_connect_tcp_divide_81a_bad_version2.yml        unknown                          0.23        0.25        None
juliet-java/CWE369_Divide_by_Zero__float_console_readLine_divide_54_bad.yml             unknown                          0.21        0.23        None
juliet-java/CWE369_Divide_by_Zero__float_console_readLine_divide_54_bad_version2.yml    unknown                          0.21        0.21        None
jdart-regression/OverapproximationString01.yml                                          false                            2.98        2.02        None
jdart-regression/URLDecoder02.yml                                                       unknown                          0.33        0.36        None
jdart-regression/addition01.yml                                                         false                            3.06        2.08        None
jdart-regression/array-iteration01.yml                                                  false                            2.89        1.64        None
jdart-regression/boundcheck100.yml                                                      false                            2.98        1.64        None
jdart-regression/boundcheck200.yml                                                      false                            2.82        1.97        None
jdart-regression/boundcheck30.yml                                                       false                            3.01        1.73        None
jdart-regression/double2long.yml                                                        false                            2.94        1.70        None
jdart-regression/float.yml                                                              false                            3.22        1.98        None
jdart-regression/radians.yml                                                            false                            3.26        2.97        None
jdart-regression/shifting.yml                                                           false                            3.03        1.71        None
jdart-regression/shifting2.yml                                                          false                            3.16        1.94        None
jdart-regression/shifting3.yml                                                          false                            2.98        1.57        None
securibench/Aliasing1.yml                                                               false                            3.16        2.30        None
securibench/Aliasing4.yml                                                               false                            3.26        2.01        None
securibench/Aliasing5.yml                                                               false                            3.43        1.97        None
securibench/Aliasing6.yml                                                               false                            2.94        1.63        None
securibench/Arrays1.yml                                                                 false                            3.15        1.77        None
securibench/Arrays10.yml                                                                false                            2.83        1.65        None
securibench/Arrays2.yml                                                                 false                            3.14        2.10        None
